RadioFreq,Sex,SexBin,event,RadioDays,enter,exit,Year,STUDYAREA,StudyAreaBin,Initial Fate,Final cause,PRECIP,PREVPRECIP,LIONREMOV,Lion Difference,air_coyote_density,ground_coyote_density,TotalCRD,Trap_Site,Calc_age,Capture_Date,Date_Fate,Est_Birth_Date,start of season,Trap_Site,KM_Fate,Personnel,Trap_Longitude,Trap_Latitude,Elevation,Fate_Longitude,Fate_Latitude,,,,,,,,,,,,,,,,s02
153.45,M,1,0,92,1.35,93.35,2000,56,1,shedcoll,.,1.02,3,1.76,0,0,0,0,SUBLETT TROUGHS,1.35,6/16/2000,9/16/2000,6/14/2000,5/19/2000,SUBLETT TROUGHS,1,"HURLEY,POWERS,HOLLIE",343406,4682352,,343345,4682431,,,,,,,,,,,,,,,,
153.5,F,0,0,76,1.35,77.35,2000,56,1,Radiofai,.,1.02,3,1.76,0,0,0,0,SIDE CANYON,1.35,6/10/2000,8/25/2000,6/8/2000,5/19/2000,SIDE CANYON,1,NONE GIVEN,342689,4695245,,0,0,,,,,,,,,,,,,,,,
153.52,F,0,0,66,3.9,69.9,2000,56,1,shedcoll,.,1.02,3,1.76,0,0,0,0,HEYDLAUFF CYN,3.9,6/7/2000,8/12/2000,6/3/2000,5/19/2000,HEYDLAUFF CYN,1,"CARLSON,MUIR",342825,4686825,,343485,4687044,,,,,,,,,,,,,,,,
153.55,M,1,0,173,1.35,174.35,2000,56,1,shedcoll,.,1.02,3,1.76,0,0,0,0,SIDE CANYON,1.35,6/10/2000,11/30/2000,6/8/2000,5/19/2000,SIDE CANYON,1,NONE GIVEN,342689,4695245,,0,0,,,,,,,,,,,,,,,,
153.62,M,1,0,168,6.45,174.45,2000,56,1,Radiofai,.,1.02,3,1.76,0,0,0,0,HEYDLAUFF CYN,6.45,6/15/2000,11/30/2000,6/8/2000,5/19/2000,HEYDLAUFF CYN,1,"JUZA,DAN",344153,4686216,,0,0,,,,,,,,,,,,,,,,
153.28,M,1,0,173,11.55,184.55,2000,73A,0,LastHear,.,1.02,3,8.87,7.11,79.78,14.18,93.97,LAKE CANYON,11.55,6/10/2000,11/30/2000,5/29/2000,5/19/2000,LAKE CANYON,1,"SEGLUND,HURLEY",366889,4698344,,0,,,,,,,,,,,,,,,,,
153.29,F,0,0,107,16.65,123.65,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BAKER CANYON,16.65,6/11/2000,9/26/2000,5/25/2000,5/19/2000,BAKER CANYON,1,"HURLEY,SEGLUND",363707,4694510,7100,366206,4693218,,,,,,,,,,,,,,,,
153.3,F,0,0,9,3.42,12.42,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BAKER CANYON,3.42,6/10/2000,6/19/2000,6/6/2000,5/19/2000,BAKER CANYON,1,"SEGLUND,HURLEY,CARL",363917,4693715,6480,362100,4700461,,,,,,,,,,,,,,,,
153.32,M,1,0,173,3.9,176.9,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BAKER CANYON,3.9,6/10/2000,11/30/2000,6/6/2000,5/19/2000,BAKER CANYON,1,"HURLEY,SEGLUND, CARL",363917,4693715,6480,358154,4700303,,,,,,,,,,,,,,,,
153.33,F,0,0,30,6.45,36.45,2000,73A,0,shedcoll,.,1.02,3,8.87,7.11,79.78,14.18,93.97,BAKER CANYON,6.45,6/9/2000,7/9/2000,6/2/2000,5/19/2000,BAKER CANYON,1,"SEGLUND,HURLEY",363903,4693297,,364023,4693497,,,,,,,,,,,,,,,,
